Name,Address,Year,Keywords,Latitude,Longitude,Belongs_to_Berlin,matched_styles,matched_types
Laubenganghaus an der Wannseebahn,Berlin Bezirk Steglitz-Zehlendorf Lichterfelde Neuchateller Straße 19-20,1930,,52.449403,13.3127029,True,,
DEGEWO-Hochhaus in der Gropiusstadt,Berlin Bezirk Neukölln Gropiusstadt Joachim-Gottschalk-Weg 1,,Hochhaus Mehrfamilienhaus,52.423035,13.4754482,True,,Wohngebäude - Einfamilienhaus
Kaisergalerie,Berlin Bezirk Mitte Mitte Friedrichstraße;Behrenstraße,nach 1871,Neorenaissance Sandstein Cafés Glasdach Passage Fußgängerverkehr,52.5156518,13.3890468,True,Renaissance - Renaissance,Freizeiteinrichtungen - Passage
Wohnhaus,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Am Rupenhorn5,1929,Einfamilienhaus,52.5052889,13.2140046,True,,Wohngebäude - Einfamilienhaus
Gummiwarenfabrik Julius Fromm,Berlin Bezirk Treptow-Köpenick Köpenick Friedrichshagener Straße,ca. 1925,Industriebau Fabrik Internationaler Stil,52.4517117,13.583595,True,Moderne - Internationaler Stil,Industriegebäude - Industriebau
Hamburger Bahnhof,Berlin Bezirk Mitte Tiergarten Invalidenstraße50,1847,Bahnhof Empfangsgebäude Kopfbahnhöfe Restaurant Freitreppe Empfangsgebäude Bahnhof Halle Historismus Kopfbahnhof Baustil,52.52567209999999,13.3659247,True,Historismus - Historismus,Öffentliche Gebäude - Bauhof
Interbau-Bauteil (Wohnhausgruppe),Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Händelallee33/35/37/39,1957–1958,IBA 1957 (Interbau) Mehrfamilienhaus,52.5213115,13.3433225,True,,Wohngebäude - Einfamilienhaus
Villa Schicke,Berlin Bezirk Tempelhof-Schöneberg Marienfelde Bruno-Möhring-Straße16 (Paralellstraße 8/9),,Einfamilienhaus Jugendstil Villa,52.412478,13.3613976,True,Historismus - Jugendstil,Wohngebäude - Einfamilienhaus
Institut für Pflanzenphysiologie der FU Berlin,Berlin Bezirk Steglitz-Zehlendorf Dahlem Königin-Luise-Straße12-16a,1962–1970,Hochschule für Biologie Institut Universitätsgebäude Spätwerk,52.4580505,13.2907491,True,,
Eierkühlhaus,Berlin Bezirk Friedrichshain-Kreuzberg Friedrichshain Stralauer Allee,1929,vorgehängten Lagerhaus,52.5002373,13.4555848,True,,Gewächshäuser und Gärten - Glashaus
Schweizerhaus,Berlin Bezirk Steglitz-Zehlendorf Wannsee Park Pfaueninsel,1829–1830,,52.434504,13.131111,True,,
Kraftwerk [Deutsche Niles Werke AG (später AEG-Transformatorenfabrik)],Berlin Bezirk Treptow-Köpenick Oberschöneweide Wilhelminenhofstraße83-85;Edisonstraße1-8,1926–1928,Kraftwerk,52.46877079999999,13.5145259,True,,
Interbau-Wohnhochhaus,Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Altonaer Straße4/6/8/10/12/14,1956–1957,Neuen Bauen Beton Aufzüge 8-geschossig Appartement Aufständerung IBA 1957 (Interbau) Mehrfamilienhaus Skelettbau aus Beton,52.517741,13.344224,True,,Wohngebäude - Einfamilienhaus
Kirche Sankt Canisius,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Witzlebenstraße30,ca. 2001–2002,"römisch-katholischen Jesuiten Architektenwettbewerb Sichtbeton Kalkstein Bronze Jesuiten Betonkonstruktion Form: Kubus Kirche Sichtbeton Kirchturm, freistehend",52.50765699999999,13.2940497,True,,
Haus Liebermann,Berlin Bezirk Mitte Mitte Pariser Platz7,1996–1997,Freitreppe Erker Walmdach Sandstein Erker Marmor Kassettendecken Ausstellungsgebäude Lage: Platz Rekonstruktion Sockel Steinplattenfassade Symmetrie,52.5162038,13.3782795,True,,Öffentliche Gebäude - Palast
Wohn- und Geschäftshaus Schlesische Straße,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Schlesische Straße21; Taborstraße 1-2,1989,"Eckhaus Geschäftshaus Mehrfamilienhaus Schichtung Solitär Sozialwohnung Abtreppung, vertikal Wettbewerb, 1. Preis",52.4977353,13.4465214,True,,Wohngebäude - Einfamilienhaus
Haus der Arbeit,Berlin,1934,Wettbewerb,52.52000659999999,13.404954,True,,
Doppelvilla,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Karolingerplatz 5/5a,1921–1922,Doppelhaus Mauerwerk aus Ziegel,52.5071129,13.26826,True,,
Haus Nather,Berlin Bezirk Steglitz-Zehlendorf Wannsee(Kohlhasenbrück) Neue Kreisstraße 9/9A,1964–1967,Doppelhaus,52.3968516,13.137594,True,,
Parfümerie-Fabrik Scherk,Berlin Bezirk Steglitz-Zehlendorf Steglitz Kelchstraße 31,1926,Denkmalschutz Fassadenornamentik Industriebau Fabrik Mauerwerksfassade aus Ziegel Baustil Backsteinexpressionismus,52.4516757,13.3575126,True,Moderne - Expressionismus,Industriegebäude - Industriebau
Ribbeck-Haus,Berlin Bezirk Mitte Mitte Breite Straße35,bis 1960,Spätrenaissance Kreuzgewölbe Aufstockung Renaissance Umbau Wohnhaus,52.51580999999999,13.40375,True,Renaissance - Renaissance,
Haus Külüs-Gerber,Berlin Bezirk Steglitz-Zehlendorf Dahlem Hüttenweg 24,1961–1963,Einfamilienhaus Organische Architektur,52.4536026,13.2740126,True,Antike - Römische Architektur,Wohngebäude - Einfamilienhaus
Electrica-Kondensatoren-Fabrik,Berlin Bezirk Steglitz-Zehlendorf Lankwitz Nicolaistraße8-12,1958,2-geschossig Fabrik Sheddach,52.4443421,13.3338709,True,,
Deutschlandhalle,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Jafféstraße,1935,denkmalgeschützte Denkmalschutz Parkhaus Stadthalle,52.5034649,13.265514,True,,Sonstige Gebäude - Stadthaus
Rathaus,Berlin Bezirk Pankow Pankow Breite Straße24-26; Neue Schönholzer Straße 36,1901–1903,Neogotik Neobarock Jugendstil Denkmalschutz Sandsteinplatte Laterne Sandstein Granit Fassade Laterne Risalite Freitreppe Kartusche dreischiffige jugendstilartigen Erker Kunststein Zeltdach Feuerwehrhaus neobarocken Stuck Denkmalschutz Rathaus,52.5694795,13.4017897,True,Mittelalter - Gotik,Öffentliche Gebäude - Feuerwehrhaus
»Schinkelplatz«,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Ritterstraße; Feilnerstraße;Schinkelplatz,1977–1987,"Bogen Fassade, gestreift IBA 1984 (Berlin) Mauerwerksfassade aus Ziegel Mehrfamilienhaus Platz Platzgestaltung Postmoderne Wohnanlage",52.5055895,13.3994732,True,Moderne - Postmoderne,Öffentliche Gebäude - Palast
Umformerwerk Pankow,Berlin Bezirk Pankow Pankow Esplanade; Grünthaler Straße,1922–1924,Frühwerk Umspannstation S-Bahnverkehr Putzfassade,52.5578342,13.4073582,True,,
Flughafen Tegel,Berlin Bezirk Reinickendorf Tegel Flughafen Tegel 1,1974,Bauensemble Denkmalschutz erkerartigen Wellblechen Shopping-Mall Flughafen,52.551268,13.2860518,True,,Denkmalschutz - Denkmalschutz
Umspannwerk (110kV Schaltanlage),Berlin Bezirk Friedrichshain-Kreuzberg Friedrichshain Thaerstraße 26,ca. 1999,Beleuchtung Naturstein Technikgebäude Fensteröffnung,52.5216985,13.4557094,True,,Öffentliche Gebäude - Technikgebäude
Wohnhäuser in Berlin,Berlin Bezirk Treptow-Köpenick Altglienicke,1997,Mehrfamilienhaus,52.4126625,13.5465149,True,,Wohngebäude - Einfamilienhaus
Wohnblock Havelspitze,Berlin Bezirk Spandau Hakenfelde(Wasserstadt Oberhavel),1996–1997,Block Lage: Fluß Mehrfamilienhaus,52.5803789,13.1729486,True,Barock/Rokoko - Barock,Wohngebäude - Einfamilienhaus
Neues Schauspielhaus,Berlin Bezirk Mitte Mitte Gendarmenmarkt2,ca. 1835,Konzerthaus Portikus Giebel Fassade Pilaster Sandstein Giebel Stuckmodelle Bronze Freitreppe betonummantelte Neobarocks Jugendstils rekonstruieren Stahl Stuck Balkons Theater,52.5136111,13.3916762,True,Barock/Rokoko - Barock,Öffentliche Gebäude - Palast
Appartmenthaus am Kurfürstendamm,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Roscherstraße 8; Lehniner Platz;Damaschkestraße,2006,Appartement Glasfassade Loggia Mehrfamilienhaus,52.4995397,13.3014355,True,,Wohngebäude - Einfamilienhaus
Tschechische Botschaft,Berlin Bezirk Mitte Mitte Wilhelmstraße,ca. 1975,Sozialistischen Moderne Brutalismus Botschaft,52.5115125,13.3833955,True,Moderne - Brutalismus,
Café »Sale e Tabacchi«,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Rudi-Dutschke-Straße25 (Kochstraße18),ca. 1997,Café Innenarchitektur Restaurant,52.5069552,13.3943813,True,Antike - Römische Architektur,
Page Memorial,Berlin Bezirk Mitte Mitte Axel-Springer-Straße50,1996,Denkmal Gedenkstätte,52.5095333,13.4001194,True,,Öffentliche Gebäude - Gedenkstätte
Observatorium,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Enckestraße 11;Lindenstraße,1832–1835,Observatorium,52.504056,13.3928982,True,,
Werk für Elektroschaltanlagen,Berlin Bezirk Marzahn-Hellersdorf Marzahn,1963–1964,Industriebau,52.5446501,13.5646433,True,,Industriegebäude - Industriebau
Palais Redern,Berlin Bezirk Mitte Mitte Unter den Linden77,1830–1833,Denkmalschutz Ecklisenen Freitreppe neugotisches Eckhaus Stadtpalast,52.519444,13.406667,True,,Öffentliche Gebäude - Palast
Jakob-Kaiser-Haus (Dorotheenblöcke),Berlin Bezirk Mitte Mitte Dorotheenstraße,1996–1999,Gebäudekomplex Parlamentsgebäude Block Bürogebäude Großkomplex Baustil,52.5185858,13.3864798,True,Barock/Rokoko - Barock,
Vordach für das Hotel Consul,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Knesebeckstraße8-9,1994,Dynamik Eingang Glasdach Stahlkonstruktion Vordach,52.5096989,13.3223606,True,,
"Stadtvilla an der Rauchstraße, Haus 7",Berlin Bezirk Mitte Tiergarten Rauchstraße4,1983–1984,Geschosswohnung Mehrfamilienhaus Postmoderne Solitär Stadthaus,52.514534,13.3501015,True,Moderne - Postmoderne,Wohngebäude - Einfamilienhaus
Wohnanlage am Lützowplatz,Berlin Bezirk Mitte Tiergarten Lützowplatz2-18,1982–1983,Blockrandbebauung IBA 1984 (Berlin) Innenhof Lage: Platz Lochfassade Mehrfamilienhaus Wohnanlage,52.505429,13.3512671,True,,Öffentliche Gebäude - Palast
Haus Lewin,Berlin Bezirk Steglitz-Zehlendorf Nikolassee Waldsängerpfad 3,1929–1930,Einfamilienhaus Internationaler Stil Solitär,52.4361853,13.2067253,True,Moderne - Internationaler Stil,Wohngebäude - Einfamilienhaus
Martin-Gropius-Bau,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Niederkirchnerstraße7;Stresemannstraße110,1881,Bauhaus Denkmalschutz Lichthof Buchhandlung Sandstein risalitartiges Granit Mezzaningeschoss Mosaiken Lichthof Museum Historismus Baustil Neorenaissance,52.50647,13.3816,True,Renaissance - Renaissance,Öffentliche Gebäude - Schlachthof
Verlagshaus »Axel Springer«,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Rudi-Dutschke-Straße2 (Kochstraße50);Axel-Springer-Straße65,1961–1966,Wohntürme Denkmalschutz Blechfassade aus Aluminium Hochhaus Skelettbau aus Beton Verlagsgebäude,52.4983442,13.4065791,True,,Öffentliche Gebäude - Regierungsgebäude
Gustav-Adolf-Kirche (1. Entwurf),Berlin,1925,Kirche Glaubensrichtung: evangelisch,52.52000659999999,13.404954,True,,
Nissan Autohaus,Berlin Bezirk Steglitz-Zehlendorf Steglitz Bismarkstraße 18a,1994–1995,2-geschossig Autohaus Galerie Lage: Stadt Lagerhalle Werkstatt Putzfassade Autowerkstatt Aufzug für Autos Nottreppe Wenderadius,52.4554249,13.3381239,True,Moderne - Bauhaus,Öffentliche Gebäude - Altstadt
Steglitzer Kreisel,Berlin Bezirk Steglitz-Zehlendorf Steglitz Schloßstraße,1968–1974,Hochhaus Busbahnhof Parkhaus Restaurant Bürogebäude Einkaufszentrum Hochhaus Parkhaus Baustil Moderne,52.4583254,13.3220095,True,Moderne - Postmoderne,
Taufkapelle (auf der »Juryfreien Kunstausstellung«),Berlin,5.1927,Ausstellungsarchitektur Kirche Glaubensrichtung: evangelisch,52.52000659999999,13.404954,True,Alternative/Regionale Stile - Anpassungsarchitektur,Freizeiteinrichtungen - Ausstellungsarchitektur
Kindertagesstätte Lützowstraße,Berlin Bezirk Mitte Tiergarten Lützowstraße41/42,1989–1993,2-geschossig Blockrandbebauung Erschließung Halbtonnendach Holzkonstruktion Kindergarten Kindertagesstätte Verschattung Bodenbelag aus Holz Linearität,52.5048311,13.3584099,True,,Freizeiteinrichtungen - Veranstaltung
Künstlerhaus für Arnold Zweig,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Kühler Weg 9,1930–1931,Künstleratelier Formensprache,52.4959698,13.2624389,True,,Sonstige Gebäude - Künstleratelier
Wissenschaftszentrum Berlin,Berlin Bezirk Mitte Tiergarten Reichpietschufer48-58;Reichpietschufer@ Hietzig-Allee,1984–1987,Postmodernen Architektur Neorenaissance Internationalen Bau­aus­stel­lung 1987 Anbau Erweiterung Farbe: blau Farbe: rot Form: Tortenstück Forschungsgebäude Postmoderne Wettbewerb,52.50608,13.36303,True,Antike - Römische Architektur,Öffentliche Gebäude - Regierungsgebäude
Unité d'Habitation Typ Berlin (»Corbusierhaus Berlin«),Berlin Bezirk Charlottenburg-Wilmersdorf Westend Flatowallee16 (Reichssportfeldstraße 16); Heilsberger Allee 193,1957–1959,Unité d’Habitation Hochhaus Unité d’Habitation Internationale Bauausstellung Interbau Modulor Denkmalschutz Appartement Aufständerung Dachterrasse Farbe Galerie Geschosswohnung Loggia Maisonette Mehrfamilienhaus Modulor Proportion Sichtbeton Solitär 17-geschossig Unité d'Habitation,52.5108941,13.2462893,True,Moderne - Internationaler Stil,Wohngebäude - Einfamilienhaus
Mehrfamilienhäuser (Torhäuser),Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Fraenkelufer,ca. 1985,Balkon Baulücke Blockrandbebauung Durchfahrt IBA 1984 (Berlin) Mehrfamilienhaus Formensprache,52.4955511,13.4155401,True,,Wohngebäude - Einfamilienhaus
Tagungs- und Veranstaltungszentrum Elisabeth-Kirche,Berlin Bezirk Mitte Mitte Invalidenstraße3,bis 2005,Mischnutzung Umnutzung: Kirche Sankt Elisabeth,52.5331269,13.3972411,True,,
Speicher Stralau,Berlin Bezirk Friedrichshain-Kreuzberg Friedrichshain Am Speicher,1881,Bürogebäude Umbau Umnutzung: Lagerhaus,52.4957654,13.4743836,True,,Gewächshäuser und Gärten - Glashaus
KPM Quartier,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Wegelystraße,,,52.515454,13.3339395,True,,
Mehrfamilienhaus in der Gropiusstadt,Berlin Bezirk Neukölln Gropiusstadt Zwickauer Damm 12,,Mehrfamilienhaus,52.4230938,13.4831208,True,,Wohngebäude - Einfamilienhaus
Tempodrom,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Möckernstraße,2000–2001,Betonkonstruktion Saalbau Veranstaltung Zelt,52.4965115,13.3797873,True,,Öffentliche Gebäude - Saalbau
ZDF Hauptstadtstudio,Berlin Bezirk Mitte Mitte Unter den Linden36/38,bis 1999,Bürogebäude,52.51754,13.38716,True,,
Gleichrichterwerk Nikolassee,Berlin Bezirk Steglitz-Zehlendorf Nikolassee Parallelstraße 2,1927–1928,Umspannstation S-Bahnverkehr Mauerwerk aus Ziegel,52.4283495,13.1917518,True,,
Villa auf Schwanenwerder,Berlin Bezirk Steglitz-Zehlendorf Nikolassee Schwanenwerder Inselstraße34,ca. 2016,"Einfamilienhaus Fassadengliederung, horizontal Flachdach Schiffsstil Villa",52.4471603,13.1690971,True,,Wohngebäude - Einfamilienhaus
Forum Steglitz,Berlin Bezirk Steglitz-Zehlendorf Steglitz Schloßstraße1-2,1967–1970,"Einkaufszentrum Parkhaus Atrium Einkaufszentrum Fassadengliederung, horizontal 4,5-geschossig",52.4530959,13.3311709,True,,
debis-Haus (Hauptverwaltung der DaimlerChrysler Services AG),Berlin Bezirk Mitte Mitte Schellingstraße;Eichhornstraße3,1992–2000,Atrium Bürogebäude Fassade: Formelemente Hochhaus Keramikplattenfassade Baustil Moderne,52.5064622,13.3731799,True,Moderne - Postmoderne,
Leibnizkolonnaden,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Walter-Benjamin-Platz,ca. 2000–2001,Geschäftshaus Mehrfamilienhaus Mischnutzung Platz Stadtplanung Steinplattenfassade Kolonnadengang,52.5019056,13.3132303,True,,Öffentliche Gebäude - Stadtplanung
Zoo-Palast,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Hardenbergstraße29a,1955–1957,Kino Denkmalschutz Kino,52.5059196,13.3338842,True,,Denkmalschutz - Denkmalschutz
Hotel Q!,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Knesebeckstraße67,ca. 2005,Hotel Innenarchitektur,52.5026484,13.3224691,True,Antike - Römische Architektur,
Haus de Burlet,Berlin Bezirk Steglitz-Zehlendorf Schlachtensee Schlickweg12,1911,1-geschossig Einfamilienhaus Satteldach Solitär Mauerwerk aus Ziegel,52.4401076,13.2143391,True,,Wohngebäude - Einfamilienhaus
Kino Kosmos,Berlin Bezirk Friedrichshain-Kreuzberg Friedrichshain Karl-Marx-Allee131a (Stalinallee131a),1960–1962,Zuckerbäckerstil 1-geschossig Erweiterung Flachdach Form: oval Kino unterirdisch Fügung,52.5169116,13.4496689,True,,
Interbau-Bauteil (Quartierszentrum),Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Altonaer Straße18/20/22;Bartningallee1/3;Hansaplatz,1957–1960,IBA 1957 (Interbau) Mehrfamilienhaus,52.51831,13.3416456,True,,Wohngebäude - Einfamilienhaus
Café Kranzler,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Kurfürstendamm18-19,1957–1958,Ausblick Café Eckhaus Form: Zylinder,52.50420519999999,13.3309878,True,,
Stadion Lichterfelde,Berlin Bezirk Steglitz-Zehlendorf Lichterfelde Ostpreußendamm,1926–1929,Fußballstadion Denkmalschutz Solitär Internationaler Stil Stadion Naturrasen,52.424944,13.3156412,True,Moderne - Internationaler Stil,Industriegebäude - Silo
Bundespräsidialamt,Berlin Bezirk Mitte Tiergarten Spreeweg1,1994,"Bäume Park Regierungsgebäude Solitär Öffentliche Verwaltung Plangrafik Wettbewerb, 3. Preis",52.514534,13.3501015,True,,Öffentliche Gebäude - Regierungsgebäude
Repräsentationsräume im Verwaltungsgebäude des Kraftwerks Klingenberg,Berlin,1926–1927,,52.52000659999999,13.404954,True,,
Institut für Physik,Berlin Bezirk Steglitz-Zehlendorf Dahlem Arnimallee14,1975–1982,,52.4561083,13.2955717,True,,
Kirche Sankt Ansgar mit Gemeindehaus,Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Klopstockstraße31;Altonaer Straße,1957,Gebäudekomplex Pfarrhaus Interbau Denkmalschutz Notkirche Interbau Stützen skelettbaus Sichtbeton Kassettendecke Campanile Bronze Empore IBA 1957 (Interbau) Kirche Glaubensrichtung: katholisch,52.5171168,13.3441561,True,,Denkmalschutz - Denkmalschutz
Haus für Albertus van Heteren,Berlin Bezirk Steglitz-Zehlendorf Nikolassee Kirchweg57,1921–1922,Einfamilienhaus,52.4340941,13.201018,True,,Wohngebäude - Einfamilienhaus
Institut für Physik der Humboldt-Universität,Berlin Bezirk Treptow-Köpenick Adlershof Newtonstraße15,1998,"Institut Universitätsgebäude Glasfassade aus Industrieglas Wettbewerb, 1. Preis",52.4331501,13.5300092,True,,Industriegebäude - Industriebau
Wohnhausanlage Mariendorf,Berlin Bezirk Tempelhof-Schöneberg Mariendorf,1930,Wohnanlage,52.4401921,13.387322,True,,
Landhaus für Hugo Corts,Berlin Bezirk Reinickendorf Frohnau Sigismundkorso 82,1910,Einfamilienhaus Solitär,52.6305554,13.2841093,True,,Wohngebäude - Einfamilienhaus
Brücke über den Landwehrkanal,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Anhalter Straße,,Eisenbahnbrücke Zweigelenkfachwerkbogen Brücke Lage: Stadt Planer,52.5049695,13.3846082,True,,Öffentliche Gebäude - Altstadt
Internationale Bauaustellung Berlin 1957 Objekt 13,Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Bartningallee2-4,1954–1961,1-Raum 2-Raum 8-geschossig Balkon Betonkonstruktion Erschließung Geschosswohnung IBA 1957 (Interbau) Mauerwerk Mehrfamilienhaus Raster Struktur Treppe Versorgungskern Zeile,52.5213115,13.3433225,True,,Wohngebäude - Einfamilienhaus
Mietshaus,Berlin Bezirk Mitte Tiergarten Turmstraße;Lübecker Straße,ca. 1880,,52.5261962,13.345372,True,,
Jesus-Christus-Kirche,Berlin Bezirk Steglitz-Zehlendorf Dahlem Faradayweg; Hittorfstraße,1929–1931,Empore Kirche,52.4494384,13.2827006,True,,
Norddeutsche Eiswerke,Berlin Bezirk Mitte Mitte Köpenicker Straße40/41,1909–1910,Denkmalschutz Giebel Fabrik Mehrfamilienhaus,52.5087309,13.42566,True,,Wohngebäude - Einfamilienhaus
Grundschule,Berlin Bezirk Neukölln Neukölln Karlsgartenstraße 6-7,1995–1998,3-geschossig Erweiterung Grundschule Sporthalle,52.4822073,13.4225687,True,,Sonstige Gebäude - Sportanlage
Bundeslehr- und Forschungsanstalt der Deutschen Lebensrettungsgesellschaft,Berlin Bezirk Spandau Wilhelmstadt Am Pichelsee 20-21,1969–1971,Forschungsgebäude Lage: See Schule,52.50779740000001,13.197448,True,,Öffentliche Gebäude - Regierungsgebäude
Heiz- und Waschhaus der Ringsiedlung,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg-Nord(Großsiedlung Siemensstadt) Goebelstraße,,Siemensstadt Technikgebäude,52.5386093,13.2750418,True,,Öffentliche Gebäude - Technikgebäude
Nicolai-Haus,Berlin Bezirk Mitte Mitte Brüderstraße 13,1674,barocken denkmalgeschützt Gebäudeensemble Foyer Barock Wohnhaus,52.5139953,13.402902,True,Barock/Rokoko - Barock,Denkmalschutz - Denkmalschutz
Groterjan-Brauerei,Berlin Bezirk Mitte Gesundbrunnen Prinzenallee,1928–1929,Brauerei,52.5559167,13.384169,True,,
Südbrücke Spreebogen,Berlin Bezirk Mitte Tiergarten,ca. 2005,Brücke Lage: Fluß Lage: Stadt,52.514534,13.3501015,True,,Öffentliche Gebäude - Altstadt
Gleichrichterwerk Hoeppnerstraße,Berlin Bezirk Tempelhof-Schöneberg Tempelhof Hoeppnerstraße 13,1927–1928,Technikgebäude Umspannstation S-Bahnverkehr,52.4714105,13.3833554,True,,Öffentliche Gebäude - Technikgebäude
Entwurf für ein Lustschloss für König Friedrich I.,Berlin,1704,Barock Lustschloss,52.52000659999999,13.404954,True,Barock/Rokoko - Barock,Öffentliche Gebäude - Schloss
Deutsches Historisches Museum (DHM),Berlin Bezirk Mitte Mitte,1988,Lage: Platz Museum für Geschichte Wettbewerb,52.519444,13.406667,True,,Öffentliche Gebäude - Palast
Teufelsbrücke,Berlin Bezirk Steglitz-Zehlendorf Wannsee(Park Klein-Glienicke),1838,Brücke Lage: Park Bogenbrücke,52.414223,13.093141,True,,Freizeiteinrichtungen - Park
Geschäftshaus Hirsch,Berlin,1926–1927,Geschäftshaus,52.52000659999999,13.404954,True,,Gewächshäuser und Gärten - Gewächshaus
Bauhaus-Archiv - Museum für Gestaltung,Berlin Bezirk Mitte Tiergarten Klingelhöferstraße13-14,1976–1979,Bauhaus Shed-Dächer Denkmalschutz Archiv Bauhaus Belichtung Erschließung Museum Museum für Architektur Museum für Design Museum für Kunst Rampe Sheddach Ausstellung: Architektur,52.506062,13.3527437,True,Antike - Römische Architektur,Öffentliche Gebäude - Mausoleum
Komödie,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Kurfürstendam 206-207,1922–1924,Theater,52.5021541,13.3235924,True,,
Wohnhaus,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Rudi-Dutschke-Straße20/22/24;Charlottenstraße83,1984–1985,Abtreppung Blockrandbebauung Eckhaus IBA 1984 (Berlin) Innenhof Mehrfamilienhaus,52.5069552,13.3943813,True,,Wohngebäude - Einfamilienhaus
Sporthalle Neukölln,Berlin Bezirk Neukölln Neukölln,,,52.4743863,13.4470859,True,,
Pfarrkirche Sankt Bernhard,Berlin Bezirk Reinickendorf Tegel Bernauer Straße66/68,1959–1960,Patrozinium Denkmalschutz Notkirche Pfarrhauses Skelettbau Sichtbeton Glasbausteine Decke Pultdächern Portal Satteldach Glaubensrichtung: katholisch Pfarrkirche Sankt Bernhard Stilelemente,52.5758223,13.2841072,True,,Sonstige Gebäude - Sportanlage
Gaststätte »Seeterrassen«,Berlin Bezirk Lichtenberg Fennpfuhl Anton-Saefkow-Platz 6,1985,Lage: See Restaurant,52.5293854,13.4737395,True,,
SEZ (Sport- und Erholungszentrum),Berlin Bezirk Friedrichshain-Kreuzberg Friedrichshain Landsberger Allee77; Danziger Straße,bis 1981,Hallenbad Lage: Park Mischnutzung Sportanlage,52.5287983,13.4448571,True,,Freizeiteinrichtungen - Park
Unfallkrankenhaus Marzahn,Berlin Bezirk Marzahn-Hellersdorf Marzahn Warener Straße 7,1991–1997,Krankenhauskirche Kulturkindergarten Krankenhaus,52.5191391,13.5701221,True,,
Kirche Sankt Adalbert,Berlin Bezirk Mitte Mitte Torstraße168;Linienstraße101,1933,Kirchengebäude denkmalgeschützte Filialkirche Bronzebuchstaben Jesuiten expressionistisch Saalbau Dominikus Dominikanerordens Mosaiken Baulücke Kirche Mauerwerk aus Ziegel,52.528482,13.3957711,True,Moderne - Expressionismus,Öffentliche Gebäude - Saalbau
Geschäftshaus,Berlin Bezirk Mitte Mitte Leipziger Straße110-111,1914,Geschäftshaus,52.509605,13.3779332,True,,Gewächshäuser und Gärten - Gewächshaus
Bendlerblock,Berlin Bezirk Mitte Tiergarten Reichpietschufer74,1911–1914,neobarocken Regierungsgebäude,52.5064441,13.3606057,True,Barock/Rokoko - Barock,Öffentliche Gebäude - Regierungsgebäude
Feierhallen des Waldfriedhofs Zehlendorf,Berlin Bezirk Steglitz-Zehlendorf Nikolassee Potsdamer Chaussee75-77,1956–1957,Friedhofsgebäude,52.4252712,13.2084451,True,,Öffentliche Gebäude - Verkehrsgebäude
Neugestaltung Berlins,Berlin Bezirk Mitte Tiergarten,1938–1941,Bauhaus Museumsinsel Triumphbogen Denkmalschutz,52.514534,13.3501015,True,Moderne - Bauhaus,Denkmalschutz - Denkmalschutz
Haus Scherk,Berlin Bezirk Steglitz-Zehlendorf Lankwitz Mozartstraße 10,1930–1931,Einfamilienhaus,52.4372289,13.3344441,True,,Wohngebäude - Einfamilienhaus
Umformerwerk Hermsdorf,Berlin Bezirk Reinickendorf Hermsdorf Schloßstraße27,1922–1925,Umspannstation S-Bahnverkehr Mauerwerk aus Ziegel,52.6195465,13.3061469,True,,
Tabakspeicher der Zigarettenfabrik »Problem«,Berlin Bezirk Pankow Prenzlauer Berg Greifswalder Straße212/213,1927–1929,Industriebau Lagerhaus Speicher,52.5320818,13.4271137,True,,Gewächshäuser und Gärten - Glashaus
Bundespressekonferenz,Berlin Bezirk Mitte Mitte Schiffbauerdamm40;Schiffbauerdamm@Reinhardtstraße,1998–2000,Bürogebäude Wettbewerb,52.52159830000001,13.3770184,True,,
